id=393416	REOPENED	MDT.MoDisco	Infrastructure	0.10.1	PC Windows XP	P2 enhancement	Fabien Giquel	2012-11-02 09:23 EDT by	Fabien Giquel	2016-05-23 05:08 EDT (	2 users	AbstractModelDiscoverer<T> class extends AbsractDiscoverer<t> class which implements IDiscoverer<T>.Declaring some IModelDiscoverer<t> interface for AbstractModelDiscoverer<T> class will enable interface/class separation on new subclasses of AbstractModelDiscoverer<T>.	The new interface has been commited into SVN.Createdcode contributionThe last commit has been canceled from SVN and is deferred until 0.11.0 SVN branch is seperated from 0.10.2.The contribution is now attached to the bug.Createdcode contributionEvolution needs to be committed again	4.0
id=442765	REOPENED	ECP	EMF Forms	unspecified	PC Windows 7	P1 normal	Johannes Faltermeier	2014-08-28 04:13 EDT by	Johannes Faltermeier	2016-04-07 09:04 EDT (	2 users	Currently only domain model references of Controls are resolved automatically by the framework. There should be a interface in the core model which marks velements if the have a domain model reference that needs to be resolved. (Or not to be resolved)	*** This bug has been marked as a duplicate of***We need a marker interface for elements which have a DMR.	2.0
id=471447	REOPENED	MDT.MoDisco	Main	0.13.0	All All	P2 enhancement	Gregoire Dupe	2015-06-30 09:59 EDT by	Thomas Cicognani	2015-09-01 09:14 EDT (	2 users	In the new MoDisco Browser it will be useful to have a customization which shows the number of instances by EClass (like the old Browser)	New Gerrit change created:Gerrit changewas merged to [master].Commit:New Gerrit change created:Gerrit changewas merged to [master].Commit:This bug can be marked as fixed.This customization must be added in the "drop down" shortcuts of the view 'Ecore Explorer'.New Gerrit change created:(In reply to Eclipse Genie from)This shortcut implementation pattern has changed. Then this contribution is obsolete. The new pattern implementation has been contributed via the.This bug can be marked as fixed.Doesn't work with "MoDisco SDK (Incubation) 1.0.0.201508171700".	9.0
id=192802	REOPENED	EMF Services	Transaction	unspecified	All Linux	P1 major	EMF Services Transaction inbox	2007-06-15 02:41 EDT by	Jose Alfredo Serrano	2017-02-24 15:20 EST (	2 users	I am manipulating two different resources with cross references. Bothresources are included in the same ResourceSet which is being used by aTransactionalEditingDomain.In my model, I have container references that are persisted. So that, when you load a resource that has a root element that is the cross-resource-contained child of some other, this root element is actually contained in a proxy.Resolving the proxy actually *removes* the contained element from it, whichlooks to the transaction API like a structural modification, even though itisn't really because this is a proxy.The Transaction API should be able to detect and handle this case.	I'm having trouble reproducing this scenario with EMF 2.3. In particular: - the eContainer() method does not cause notification of the containment change in the proxy container object at line 771 in BasicEObjectImpl (the eBasicRemoveFromContainer(null) call) - the proxy container doesn't have any adapters attached, including the TransactionChangeRecorder that would assert that the change is happening in a read/write transactionI expect that the first point is a consequence of the second. How are you managing to get the TransactionChangeRecorder attached to the proxy container?Resolving as works-for-me, because under normal circumstances it appears that container proxies should not be subject to the transaction protocol, just like any other cross-reference proxy.If it appears that there is a normal scenario in which the TransactionChangeRecorder will end up being attached to such a proxy, then please re-open this bug with a reproducible test case, and we can have another look.I'm also in a case of cross-resource-containement, and I have the same problem than alfredo.I have a "ComponentInstance" in a resource A which have reference on componentClass which are in a resource B. Those componentclasses are contained in a M2MProject which is in a resource C.(ComponentInstance in A, componentClass in B, M2MProject in C)So it's a case of cross-resource-containement.I paste a stacktrace of the code, which show that the resolution of the container of my ComponentClass(sourceComponentClass)which raises a notification which is considered by the ReadFilter as a modification.In fact, the readFilter checks if the reference is container but in my case, the reference is containement and so the readfilter will return false and the assertwriting will raise a "IllegalStateException : Cannot modify resource set without a write transaction"The stacktrace :----------------Thread [main] (Suspended) ==> RETURN FALSE <== EReferenceImpl.isContainer() line: 186 ReadFilter.matches(Notification) line: 90 TransactionChangeRecorder.appendNotification(Notification) line: 301 TransactionChangeRecorder.processObjectNotification(Notification) line: 284 TransactionChangeRecorder.notifyChanged(Notification) line: 240 M2MProjectImpl(BasicNotifierImpl).eNotify(Notification) line: 280 ENotificationImpl(NotificationImpl).dispatch() line: 1033 SourceComponentClassImpl(BasicEObjectImpl).eContainer() line: 776 CrossReferenceAdapter.getInverseReferences(EObject, boolean) line: 891 CrossReferenceAdapter(ECrossReferenceAdapter).getInverseReferences(EObject) line: 311 CrossReferenceAdapter.updateImportsAndExports(Resource, EObject, boolean) line: 300 CrossReferenceAdapter.selfAdapt(Notification) line: 107 CrossReferenceAdapter(ECrossReferenceAdapter).notifyChanged(Notification) line: 430 M2MResourceImpl(BasicNotifierImpl).eNotify(Notification) line: 280 M2MResourceImpl(ResourceImpl).load(InputStream, Map<?,?>) line: 1514 M2MResourceImpl(ResourceImpl).load(Map<?,?>) line: 1282 AdapterFactoryEditingDomain$AdapterFactoryEditingDomainResourceSet(ResourceSetImpl).demandLoad(Resource) line: 255 AdapterFactoryEditingDomain$AdapterFactoryEditingDomainResourceSet(ResourceSetImpl).demandLoadHelper(Resource) line: 270 AdapterFactoryEditingDomain$AdapterFactoryEditingDomainResourceSet(ResourceSetImpl).getResource(URI, boolean) line: 397 AdapterFactoryEditingDomain$AdapterFactoryEditingDomainResourceSet(ResourceSetImpl).getEObject(URI, boolean) line: 216 EcoreUtil.resolve(EObject, ResourceSet) line: 202 EcoreUtil.resolve(EObject, EObject) line: 262 ComponentInstanceImpl(BasicEObjectImpl).eResolveProxy(InternalEObject) line: 1475 ComponentInstanceImpl.getComponentClass() line: 280 .....reopening the bug wrta fix could be to check in ReadFilter if the reference is container or containement (line 77) :if ((feature instanceof EReference) && (((EReference) feature).isContainer() || (((EReference) feature).isContainment()))){ return true;}	5.0
id=472747	REOPENED	EMFT.facet	Main	1.0.0	All All	P2 enhancement	Gregoire Dupe	2015-07-15 11:12 EDT by	Gregoire Dupe	2015-08-21 12:36 EDT (	0 users	The customization loading dialog is not easily readable. It would be more readable is the flowing regex would be applied on labels.	The regex : s/(.*)\.(.*)/\2 \1/New Gerrit change created:Gerrit changewas merged to [master].Commit:This bug can be marked as fixed.Some example customization identifiers end with ".custom' or ".aggregate".Those customizations are displayed like "custom (org.eclipse...)" .Those example customizations have to be renamed.	5.0
id=497117	REOPENED	Papyrus	Others	2.0.0	All All	P2 normal	Christian W. Damus	2016-06-30 14:40 EDT by	Christian W. Damus	2016-07-12 00:04 EDT (	2 users	In very large RSA models, comprising dozens of fragments, that have profiles applied that are dynamically defined, the time taken in migrating stereotype applications to the corresponding Papyrus profiles increases by an order of magnitude when the Papyrus profile is statically defined as compared to when it is also dynamically defined.For example, in a particular customer's confidential model, the time taken to import stereotype applications in the dynamic-to-dynamic was about 12 seconds. Importing the same model in the dynamic-to-static case would take about 43 seconds, accounting for the entirety of the difference in the overall import performance.The re-application of the profile has considerably more work to do in finding Ecore-to-UML correspondences in the profile definitions in the case of a statically defined profile, so probably some caching of these look-ups will help performance.	It would appear that the fix forin UML2 solves this problem.I verified this with the latest UML2 fix installed, and the time for the dynamic-to-static case was reduced down from 43 to 22 seconds. I put this one into verified. If there are additional performance improvements that could be made, we can track those with other Bugzillas.I realized that apart from having the UML2 fix provided byapplied, I also had the draft Gerrit changeapplied. I have actually not tested the UML2 fix "on its own", so any impact from that Gerrit change alone is not fully known.Maybe we shall reopen this one, to make sure that this Gerrit change also is included, or shall we assume that we can abandon it? But then I guess that we (I?) should test the UML2 fix "on its own" before deciding that.(In reply to Peter Cigehn from)Indeed. I've prototyped changes in the UMLUtil that reduce the time to re-apply a profile to a simple small model of 57 resources by more than a factor of ten:.And it's not just re-applying profiles, but anything involving querying stereotype applications from statically generated profiles.(In reply to Christian W. Damus from)Actually, it turned out not to matter in the UML2 context whether the model was fragmented, so my proposed patch for UML2 on that bug just implements tests on a single resource. But the problem in RSA import is that stereotype repair is done on every resource separately, not just on the entire content tree from top down in one operation. The proposed cache mechanism in UML2 could be used to put a caching scope around the entire multi-resource repair step in the RSA import, which should help much.New Gerrit change created:	6.0
id=471597	REOPENED	MDT.MoDisco	Main	0.13.0	All All	P2 enhancement	Gregoire Dupe	2015-07-01 10:21 EDT by	Thomas Cicognani	2015-10-29 05:05 EDT (	2 users	In the new MoDisco Browser it will be useful to have a customization which shows the subclasses from an EClass (like the old Browser)	New Gerrit change created:This customization must be added in the "drop down" shortcuts of the view 'Ecore Explorer'.Gerrit changewas merged to [master].Commit:Still waiting to the shortcut before to mark as fixed.This shortcut implementation pattern has changed. Then this contribution is obsolete. The new pattern implementation has been contributed via the.Therefore, we decided to not add button shortcut in the toolbar for now.This bug can be marked as fixed.Doesn't work with "MoDisco SDK (Incubation) 1.0.0.201508171700".New Gerrit change created:Gerrit changewas merged to [master].Commit:	8.0
id=352312	REOPENED	MDT.MoDisco	Main	0.9.0	All All	P2 normal	Nicolas Bros	2011-07-18 04:16 EDT by	Nicolas Bros	2013-12-26 04:27 EST (	2 users	In, we have these 0.8 sections instead of 0.9 sections:QueryManager Version 0.8FacetManager Version 0.8SMM Version 0.8	I expect that this can be fixed for 0.1.1.Fixed in revision 4540.Still need to check after Hudson build.verified fixedWe still need to check inonce the maintenance version SR1 is released.	4.0
id=472041	REOPENED	MDT.MoDisco	Main	0.13.0	All All	P2 enhancement	Project Inbox	2015-07-07 06:24 EDT by	Thomas Cicognani	2015-09-01 09:16 EDT (	1 user	In the new MoDisco Browser it will be useful to have a customization which shows the number of instances by EClass (instances which are in the same Resource as the selection, like the old Browser)	New Gerrit change created:Gerrit changewas merged to [master].Commit:New Gerrit change created:This shortcut implementation pattern has changed. Then this contribution is obsolete. The new pattern implementation has been contributed via the.This bug can be marked as fixed.Doesn't work with "MoDisco SDK (Incubation) 1.0.0.201508171700".	5.0
id=462841	REOPENED	Acceleo	Core	3.5.0	PC Windows 7	P3 normal	Project Inbox	2015-03-23 08:37 EDT by	Wolfgang Grossinger	2016-08-10 13:47 EDT (	3 users	CreatedThe described Eclipse projectsI installed a new Luna 4.4.2 Release (J2EE) and Installed Papyrus and Acceleo. Then I created an new Project zpa-uml and there an UML-Profile (ZpsDbModel.profile) and a UML-Model (ZpsDbModel) that uses the profile. When I apply a template on that model. Then I created a second project for Acceleo 'zps-generation' and created a simple template 'generate.mtl' there. When I add some breakpoints to that template and debug it, the debugger never stops on that breakpoints.I added the according projects as an attachment.Greetings,Wolfgang	The debugguer is no longer functional in Luna and older version of Eclipse because of changes in the target platform that forced us to change the launching strategies.Hum... Rather than a wontfix, this is something we have to keep in mind for the next version.(In reply to Laurent Goubet from)It would be great if debugging can be revived. Once M2Ts get more complex, the need for debugging becomes significantly important. I would happily be a beta-tester for upcoming releases, so please let me know.	3.0
id=482850	REOPENED	ECP	EMF Forms	unspecified	PC Linux	P3 normal	Alexandra Buzila	2015-11-23 11:46 EST by	Alexandra Buzila	2016-06-10 04:27 EDT (	1 user	I don't have any exact steps top reproduce at the moment, but sometimes when selecting a category in the preview (with auto refresh ON), the detail pane keeps resizing infinitely... and only stops when hitting manual refresh.	This is actually a bug in RCPTT. We will link a the created bug id asap.Createdin RCPTT.*** This bug has been marked as a duplicate of***Createdviewmodel with group inside categoryI was able to reproduce the problem on Ubuntu 16.04 (not running from RCPTT) with the attached viewmodel.Open the viewmodel in the editor and then open the preview. The categorization will start resizing. Alternatively, focus the preview and then focus the editor. It should lead to the same result.This doesn't happen on Windows.Reopened, as the problem can be reproduced with the 1.9 release in the Mars2 Eclipse Modeling edition (running with gtk 2), on Ubuntu 16.04.	4.0
